"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 04, 2017","17.574","17.548","17.593","17.533","-","0.50%"
"Jun 02, 2017","17.487","17.205","17.505","17.120","0.25K","1.42%"
"Jun 01, 2017","17.243","17.300","17.305","17.025","0.08K","-0.72%"
"May 31, 2017","17.368","17.210","17.340","17.210","0.05K","-0.12%"
"May 30, 2017","17.388","17.335","17.400","17.210","0.88K","-0.02%"
"May 29, 2017","17.392","17.385","17.449","17.330","-","0.01%"
"May 28, 2017","17.390","17.348","17.394","17.348","-","0.62%"
"May 26, 2017","17.283","17.105","17.310","17.100","0.03K","0.76%"
"May 25, 2017","17.152","17.165","17.190","17.150","0.09K","0.44%"
"May 24, 2017","17.077","16.990","17.075","16.990","0.02K","-0.08%"
"May 23, 2017","17.091","17.080","17.230","17.010","0.07K","-0.58%"
"May 22, 2017","17.191","16.870","17.210","16.840","78.64K","1.18%"
"May 21, 2017","16.990","16.873","17.145","16.857","-","1.43%"
"May 19, 2017","16.750","16.525","16.775","16.525","0.07K","0.78%"
"May 18, 2017","16.621","16.700","16.705","16.510","0.06K","-1.37%"
"May 17, 2017","16.852","16.855","16.955","16.740","0.12K","0.95%"
"May 16, 2017","16.693","16.580","16.775","16.580","0.05K","0.80%"
"May 15, 2017","16.561","16.435","16.735","16.425","0.08K","0.55%"
"May 14, 2017","16.471","16.467","16.505","16.467","-","0.76%"
"May 12, 2017","16.346","16.285","16.405","16.280","0.04K","0.85%"
"May 11, 2017","16.209","16.155","16.315","16.155","0.07K","0.36%"
"May 10, 2017","16.151","16.145","16.235","16.100","0.13K","0.89%"
"May 09, 2017","16.008","16.145","16.185","16.030","0.09K","-1.18%"
"May 08, 2017","16.199","16.260","16.395","16.200","0.15K","-1.76%"
"May 07, 2017","16.490","16.311","16.491","16.311","-","1.70%"
"May 05, 2017","16.215","16.290","16.465","16.195","0.19K","-0.18%"
"May 04, 2017","16.244","16.425","16.550","16.210","0.68K","-1.47%"
"May 03, 2017","16.487","16.800","16.835","16.420","1.23K","-1.68%"
"May 02, 2017","16.769","16.855","16.955","16.755","0.54K","-0.07%"
"May 01, 2017","16.780","17.185","17.215","16.760","1.44K","-2.98%"
"Apr 30, 2017","17.295","17.264","17.311","17.264","-","0.60%"
"Apr 28, 2017","17.191","17.225","17.375","17.130","1.54K","-0.43%"
"Apr 27, 2017","17.265","17.460","17.470","17.205","35.74K","-0.95%"
"Apr 26, 2017","17.431","17.650","17.695","17.355","67.57K","-0.85%"
"Apr 25, 2017","17.581","17.575","17.575","17.560","0.03K","-1.96%"
"Apr 24, 2017","17.932","18.035","18.035","17.625","46.78K","0.12%"
"Apr 23, 2017","17.910","17.850","17.910","17.680","-","0.45%"
"Apr 21, 2017","17.830","17.985","17.990","17.855","0.04K","-1.48%"
"Apr 20, 2017","18.098","18.220","18.295","17.920","41.78K","-0.78%"
"Apr 19, 2017","18.240","18.375","18.395","18.165","22.21K","-0.60%"
"Apr 18, 2017","18.350","18.500","18.510","18.145","36.12K","-0.77%"
"Apr 17, 2017","18.493","18.430","18.435","18.430","0.01K","-0.68%"
"Apr 16, 2017","18.620","18.580","18.630","18.560","-","0.40%"
"Apr 14, 2017","18.545","18.545","18.545","18.545","-","0.30%"
"Apr 13, 2017","18.489","18.475","18.500","18.470","0.01K","1.15%"
"Apr 12, 2017","18.279","18.320","18.390","18.320","0.14K","0.25%"
"Apr 11, 2017","18.233","18.040","18.290","18.040","0.02K","1.89%"
"Apr 10, 2017","17.894","17.820","17.830","17.750","0.06K","-0.54%"
"Apr 09, 2017","17.992","17.992","18.023","17.930","-","-0.76%"
"Apr 07, 2017","18.130","18.350","18.425","18.350","0.01K","-0.52%"
"Apr 06, 2017","18.225","18.170","18.170","18.170","0.14K","0.32%"
"Apr 05, 2017","18.166","18.215","18.215","18.165","0.03K","-1.27%"
"Apr 04, 2017","18.399","18.375","18.505","18.295","5.34K","1.14%"
"Apr 03, 2017","18.191","18.220","18.220","18.200","0.02K","-0.25%"
